STARFIRE_INCIDENT_ID,INCIDENT_DATETIME,INCIDENT_BOROUGH
24,11/28/2012,BRONX
53,1/1/2020,BROOKLYN
15,3/14/2014,BRONX
21,12/18/2012,MANHATTAN
22,3/4/2012,QUEENS
5,1/1/2020,RICHMOND / STATEN ISLAND
37,9/9/2007,QUEENS
37,5/6/2017,BROOKLYN
19,5/1/2012,QUEENS
26,5/4/2016,BROOKLYN
59,12/24/2010,BROOKLYN
25,5/11/2010,BRONX
6,11/21/2006,RICHMOND / STATEN ISLAND
35,2/25/2010,QUEENS
14,6/20/2017,BRONX
20,11/21/2009,QUEENS
33,8/12/2019,BROOKLYN
19,1/29/2021,MANHATTAN
15,8/1/2017,QUEENS
41,3/30/2006,BRONX
5,6/29/2014,RICHMOND / STATEN ISLAND
19,6/16/2012,MANHATTAN
27,6/2/2012,BROOKLYN
20,7/26/2015,BRONX
25,6/6/2010,QUEENS
31,3/9/2011,MANHATTAN
33,7/23/2010,BRONX
37,1/8/2017,BRONX
17,7/11/2014,QUEENS
3,5/13/2018,RICHMOND / STATEN ISLAND
28,2/25/2019,MANHATTAN
33,5/12/2012,MANHATTAN
10,10/19/2008,RICHMOND / STATEN ISLAND
19,6/20/2016,QUEENS
19,1/25/2018,QUEENS
6,8/20/2005,RICHMOND / STATEN ISLAND
5,7/9/2007,RICHMOND / STATEN ISLAND
23,11/28/2019,RICHMOND / STATEN ISLAND
49,6/21/2005,MANHATTAN
42,3/1/2012,BROOKLYN
8,2/2/2011,RICHMOND / STATEN ISLAND
45,6/19/2005,BROOKLYN
20,5/7/2012,BROOKLYN
26,4/21/2018,BRONX
28,12/25/2011,MANHATTAN
27,11/16/2018,QUEENS
22,2/20/2013,QUEENS
20,7/6/2011,MANHATTAN
20,8/24/2007,BRONX
4,5/3/2016,RICHMOND / STATEN ISLAND
6,6/29/2009,RICHMOND / STATEN ISLAND
63,11/28/2013,QUEENS
5,4/14/2017,RICHMOND / STATEN ISLAND
25,4/25/2006,QUEENS
35,6/5/2018,BROOKLYN
31,4/30/2008,BRONX
8,11/1/2008,RICHMOND / STATEN ISLAND
19,12/7/2009,QUEENS
4,5/8/2013,RICHMOND / STATEN ISLAND
13,8/11/2015,MANHATTAN
2,6/14/2012,RICHMOND / STATEN ISLAND
2,5/29/2021,RICHMOND / STATEN ISLAND
36,9/24/2014,BROOKLYN
86,2/17/2015,BROOKLYN
30,4/10/2007,MANHATTAN
43,3/17/2006,QUEENS
27,12/22/2018,BRONX
32,9/3/2006,BRONX
16,7/22/2014,BRONX
37,8/4/2013,BROOKLYN
32,10/2/2012,MANHATTAN
24,6/7/2018,BRONX
59,11/24/2011,BRONX
4,5/15/2006,RICHMOND / STATEN ISLAND
23,12/9/2015,BRONX
7,6/10/2007,RICHMOND / STATEN ISLAND
25,3/18/2010,MANHATTAN
4,11/29/2015,RICHMOND / STATEN ISLAND
27,10/8/2011,BRONX
41,5/11/2019,BROOKLYN
27,7/24/2011,QUEENS
9,3/25/2006,RICHMOND / STATEN ISLAND
18,7/10/2009,QUEENS
14,6/2/2007,RICHMOND / STATEN ISLAND
23,7/16/2014,BRONX
18,12/9/2016,QUEENS
15,10/26/2006,BRONX
6,3/29/2005,RICHMOND / STATEN ISLAND
27,7/9/2005,QUEENS
3,10/4/2015,RICHMOND / STATEN ISLAND
44,6/13/2016,BROOKLYN
30,12/1/2009,BROOKLYN
33,2/10/2009,MANHATTAN
25,6/1/2009,MANHATTAN
23,4/1/2015,BRONX
44,2/15/2008,BROOKLYN
32,4/24/2019,BROOKLYN
37,1/23/2007,MANHATTAN
37,7/24/2019,BROOKLYN
26,7/9/2011,MANHATTAN
24,1/5/2009,MANHATTAN
33,10/5/2014,BRONX
24,5/6/2016,MANHATTAN
25,1/1/2020,QUEENS
3,7/12/2019,RICHMOND / STATEN ISLAND
59,5/5/2015,BRONX
35,11/15/2015,BROOKLYN
22,1/1/2020,MANHATTAN
32,10/21/2012,BROOKLYN
48,9/22/2006,BROOKLYN
31,9/21/2010,MANHATTAN
34,9/21/2015,BROOKLYN
25,11/17/2008,BRONX
14,7/28/2017,MANHATTAN
5,11/29/2007,RICHMOND / STATEN ISLAND
6,4/26/2010,RICHMOND / STATEN ISLAND
15,7/31/2012,MANHATTAN
2,2/29/2008,RICHMOND / STATEN ISLAND
9,3/21/2006,RICHMOND / STATEN ISLAND
5,7/6/2008,RICHMOND / STATEN ISLAND
10,4/15/2014,BRONX
47,2/2/2021,BRONX
26,6/22/2005,BRONX
25,4/25/2017,MANHATTAN
32,7/26/2011,BROOKLYN
17,1/21/2012,BRONX
18,4/28/2014,QUEENS
22,1/1/2020,BRONX
68,1/1/2021,BROOKLYN
37,8/9/2008,BROOKLYN
21,1/30/2015,BRONX
34,7/26/2006,MANHATTAN
22,8/5/2009,MANHATTAN
20,1/22/2011,BRONX
28,11/11/2012,MANHATTAN
31,3/4/2007,MANHATTAN
45,6/16/2018,BROOKLYN
4,8/30/2010,RICHMOND / STATEN ISLAND
41,10/21/2007,MANHATTAN
25,4/10/2017,QUEENS
34,1/24/2006,BROOKLYN
38,12/20/2005,BROOKLYN
24,12/28/2006,BRONX
26,3/26/2010,QUEENS
23,9/9/2016,BRONX
42,9/29/2007,QUEENS
46,3/5/2013,MANHATTAN
32,5/8/2008,BROOKLYN
19,2/5/2009,BRONX
26,2/26/2017,BRONX
18,1/2/2020,BRONX
28,4/25/2012,BROOKLYN
25,10/22/2014,MANHATTAN
21,9/23/2012,BRONX
27,1/2/2020,MANHATTAN
28,4/8/2019,MANHATTAN
35,3/17/2008,BRONX
6,8/14/2015,RICHMOND / STATEN ISLAND
28,1/30/2016,QUEENS
25,2/18/2015,BRONX
21,11/17/2008,QUEENS
22,1/2/2005,QUEENS
5,1/2/2020,RICHMOND / STATEN ISLAND
25,7/4/2008,MANHATTAN
15,1/6/2015,BRONX
48,2/18/2010,BROOKLYN
33,1/17/2010,MANHATTAN
29,4/20/2018,BROOKLYN
28,8/15/2009,BRONX
27,1/14/2012,QUEENS
3,10/22/2005,RICHMOND / STATEN ISLAND
21,10/20/2013,QUEENS
36,12/12/2009,MANHATTAN
26,5/29/2019,BROOKLYN
31,7/13/2010,MANHATTAN
23,4/8/2018,QUEENS
31,9/22/2017,BROOKLYN
9,5/11/2009,RICHMOND / STATEN ISLAND
52,9/30/2007,BROOKLYN
14,3/26/2012,BRONX
21,10/18/2018,QUEENS
27,10/11/2008,BRONX
35,5/31/2005,BROOKLYN
22,1/14/2007,MANHATTAN
29,8/3/2010,BRONX
43,3/28/2010,BROOKLYN
33,3/16/2018,BROOKLYN
24,6/22/2010,QUEENS
12,12/9/2011,RICHMOND / STATEN ISLAND
9,9/24/2012,RICHMOND / STATEN ISLAND
34,7/31/2005,BROOKLYN
2,2/17/2012,RICHMOND / STATEN ISLAND
26,6/22/2018,BROOKLYN
30,10/13/2010,MANHATTAN
17,6/24/2018,MANHATTAN
28,7/29/2016,BROOKLYN
49,7/14/2007,BROOKLYN
2,2/18/2011,RICHMOND / STATEN ISLAND
12,4/23/2007,RICHMOND / STATEN ISLAND
10,4/1/2016,RICHMOND / STATEN ISLAND
4,7/17/2009,RICHMOND / STATEN ISLAND
21,2/26/2019,BROOKLYN
14,2/5/2013,QUEENS
30,10/16/2018,BRONX
17,5/25/2018,BRONX
25,7/11/2011,BRONX
15,12/30/2018,MANHATTAN
23,3/8/2017,BRONX
39,2/10/2008,BROOKLYN
24,5/29/2009,MANHATTAN
25,9/5/2014,BRONX
3,11/8/2014,RICHMOND / STATEN ISLAND
14,6/24/2021,QUEENS
15,5/3/2016,BRONX
45,11/17/2009,BROOKLYN
23,4/6/2014,MANHATTAN
37,7/1/2009,BROOKLYN
2,8/31/2007,RICHMOND / STATEN ISLAND
25,5/29/2010,MANHATTAN
29,1/27/2017,BROOKLYN
14,5/2/2011,BRONX
28,6/3/2009,MANHATTAN
22,9/25/2018,BRONX
31,11/18/2006,QUEENS
29,1/11/2016,MANHATTAN
18,11/27/2018,QUEENS
20,3/26/2013,QUEENS
41,1/2/2020,BROOKLYN
23,1/2/2020,QUEENS
