Incident Type,Location,Borough,Creation Date,Latitude,Longitude
Fire-4th Alarm,78-17 101 Avenue,Queens,1/5/2020,40.68059342,-73.85901142
Fire-3rd Alarm,26-19 Jackson Avenue,Queens,1/9/2020,40.74740904,-73.94171153
Structural-Falling Debris,41-28 Main Street,Queens,1/16/2020,40.75731166,-73.82908979
Transportation-Car,Grand Central Parkway  & Little Neck Parkway,Queens,1/25/2020,40.754574,-73.723203
Fire-2nd Alarm,100-26 67th Road,Queens,1/17/2020,40.72610185,-73.85301883
Structural-Street Collapse,219-05 99 Avenue,Queens,1/27/2020,40.71588064,-73.73362017
Structural-Street Collapse,219-05 99 Avenue,Queens,1/27/2020,40.71588064,-73.73362017
Structural-Street Collapse,219-05 99 Avenue,Queens,1/27/2020,40.71588064,-73.73362017
Fire-2nd Alarm,93-34 43rd Avneue,Queens,3/15/2020,40.7442546,-73.87129165
Fire-2nd Alarm,439 Beach 66 Street,Queens,4/15/2020,40.59411143,-73.79530022
Fire-2nd Alarm,439 Beach 66 Street,Queens,4/15/2020,40.59411143,-73.79530022
Fire-2nd Alarm,439 Beach 66 Street,Queens,4/15/2020,40.59411143,-73.79530022
Fire-1st Alarm,6112 Main Street,Queens,6/21/2020,40.741659,-73.825497
Fire-3rd Alarm,94-26 40th Road,Queens,6/10/2020,40.7482522,-73.87124472
Structural-Street Collapse,219-05 99 Avenue,Queens,1/27/2020,40.71588064,-73.73362017
Structural-Cracks,45-18 Court Square,Queens,7/13/2020,40.74584,-73.94376303
Law Enforcement-Suspicious Package,94th Street  & LaGuardia Road,Queens,2/27/2020,40.772133,-73.8761085
Structural-Collapse,143-33 97 Avenue,Queens,7/31/2020,40.69660001,-73.80793504
Utility-Power Outage,315 Beach 9 Street,Queens,8/4/2020,40.71400364,-73.82998933
Fire-2nd Alarm,439 Beach 66 Street,Queens,4/15/2020,40.59411143,-73.79530022
Fire-4th Alarm,136-13 38th Avenue,Queens,11/14/2020,40.76095698,-73.83054434
Utility-Water Main,37-14 Parsons Boulevard,Queens,11/22/2020,40.76328001,-73.82305499
Utility-Water Main,37-14 Parsons Boulevard,Queens,11/22/2020,40.76328001,-73.82305499
Structural-Collapse,861 Wyckoff Avenue,Queens,11/6/2020,40.6977,-73.90759403
Utility-Water Main,210 Street  & 67th Avenue,Queens,11/6/2020,40.74244005,-73.76514995
Structural-Collapse,861 Wyckoff Avenue,Queens,11/6/2020,40.6977,-73.90759403
Structural-Collapse,861 Wyckoff Avenue,Queens,11/6/2020,40.6977,-73.90759403
Fire-3rd Alarm,9031 48th Avenue,Queens,12/19/2020,40.74157998,-73.87406298
Fire-1st Alarm,6112 Main Street,Queens,6/21/2020,40.741659,-73.825497
